Brand,Bike Name,Model Year,Price,Location,Owners,Kilometers Run,Listing Type
Bajaj,Pulsar 220 DTSFi,2018,"65,000","Surat, Gujarat",1.0,23600.0,Basic
Bajaj,Avenger Street 220,2019,"75,000","Gurgaon, Haryana",1.0,8500.0,Basic
Jawa,Java 42 fj,2025,"2,50,000","Bangalore, Karnataka",1.0,27000.0,Basic
Revolt,RV 400,2022,"65,000","Chennai, Tamil Nadu",1.0,19000.0,Basic
Yamaha,FZ16,2015,"48,000","Bangalore, Karnataka",1.0,35000.0,Basic
Bajaj,Pulsar N160,2022,"70,000","Nanded, Maharashtra",1.0,44000.0,Basic
Bajaj,Pulsar 220F,2017,"55,000","Pune, Maharashtra",2.0,70000.0,Basic
Bajaj,V15,2017,"35,000","Mira-Bhayandar, Thane, Maharashtra",1.0,27500.0,Basic
Hero,Splendor iSmart,2015,"40,000","Secunderabad, Hyderabad, Telangana",1.0,42000.0,Basic
Bajaj,Pulsar 150 Neon,2019,"35,000","Barasat, North 24 Parganas, West Bengal",,52539.0,Premium
Yamaha,Alpha,2016,"35,000","Whitefield, Bangalore, Karnataka",1.0,10500.0,Premium
Yamaha,YZF R15 V3 BS6,2020,"80,000","Dwarka, South West Delhi, Delhi",1.0,13000.0,Premium
Okinawa,R30,2021,"34,000","Jhunjhunu, Rajasthan",1.0,2380.0,Premium
Bajaj,V15,2017,"30,000","Lucknow, Uttar Pradesh",1.0,63000.0,Premium
Honda,Activa 6G Std,2020,,"Kolkata, West Bengal Finance Available View More Details",1.0,,Premium
Bicycle,Schnell,2017,"4,500","Rangareddy, Telangana",1.0,,Premium
Honda,CB300F Deluxe Pro,2023,"1,50,000","Pendurthi, Visakhapatnam, Andhra Pradesh",1.0,22299.0,Premium
Honda,Hness CB350 DLX Pro 2025,2025,"2,25,000","Hadapsar, Pune, Maharashtra",1.0,700.0,Premium
Hero,Xpulse 200 4V 2023 Edition,2023,"94,000","Hyderabad, Telangana",1.0,42500.0,Premium
Honda,Grazia 125 BS6,2021,"75,000","Kumta, Uttara Kannada, Karnataka",1.0,32000.0,Premium
TVS,Apache RR 310 BTO,2023,"2,30,000","Howrah, West Bengal",1.0,2989.0,Premium
Royal Enfield,Vintage Bullet,2007,"1,00,000","Sholinganallur, Chennai, Tamil Nadu",1.0,25000.0,Premium
TVS,NTORQ 125,2022,"65,000","Khar, Mumbai, Maharashtra",1.0,,Premium
Royal Enfield,Classic 350,2016,"1,10,000","Jaipur, Rajasthan",1.0,8000.0,Premium
Jawa,42 Dual Tone,2023,"1,60,000","Udaipur, Rajasthan",1.0,23000.0,Premium
Ola,S1 Pro,2023,"1,00,000","BTM Layout, Bangalore, Karnataka",1.0,24592.0,Premium
Yezdi,Roadster Dark,2022,"1,40,000","Bhimavaram, West Godavari, Andhra Pradesh",1.0,8700.0,Premium
Royal Enfield,Super Meteor 650,2025,"3,95,000","Mayur Vihar, East Delhi, Delhi",1.0,4700.0,Premium
TVS,Apache RTR 200 4V,2017,"77,000","HSR Layout, Bangalore, Karnataka",1.0,22600.0,Premium
Yamaha,YZF R15 S V3.0,2020,"1,20,000","Lucknow, Uttar Pradesh",1.0,60000.0,Basic
Honda,Shine 125 Drum,2012,"30,000","Patna, Bihar",1.0,24000.0,Basic
Hero,XPulse 200,2022,"90,000","Pimpri-Chinchwad, Maharashtra",1.0,23000.0,Basic
Jawa,Perak BS6,2022,"2,00,000","Karol Bagh, Central Delhi, Delhi",1.0,15000.0,Basic
Jawa,forty two,2019,"80,000","Panipat, Haryana",1.0,32000.0,Basic
Ola,S1 X Gen 3 4kWh,2025,"95,000","Ratlam, Madhya Pradesh",1.0,8000.0,Basic
Hero,Pleasure,2012,"30,000","Pune, Maharashtra",1.0,,Basic
Bajaj,Avenger Street 220,2017,"50,000","New Delhi, Delhi",1.0,15000.0,Basic
Honda,CB Shine,2018,"40,000","Mathura, Uttar Pradesh",1.0,71115.0,Basic
Honda,Livo Drum,2017,"35,000","Kolkata, West Bengal",1.0,9900.0,Basic
Honda,Hornet 2.0,2020,"1,00,000","Mumbai, Maharashtra",1.0,33450.0,Basic
Royal Enfield,Continental GT 650,2024,"3,50,000","Agra, Uttar Pradesh",1.0,5000.0,Basic
Honda,CB Unicorn 160,2016,"30,000","Tambaram, Chengalpattu, Tamil Nadu",1.0,29000.0,Basic
Hero,Pleasure,2018,"25,000","Kolkata, West Bengal",1.0,18000.0,Basic
TVS,iQube S,2023,"95,000","Ghaziabad, Uttar Pradesh",1.0,20000.0,Basic
Bajaj,Dominar 400,2019,"1,30,000","Mumbai, Maharashtra",1.0,35000.0,Basic
TVS,Raider 125,2023,"80,000","Barh, Patna, Bihar",1.0,30000.0,Basic
Oben,EV Rorr EZ Sigma,2025,"1,15,000","Bellandur, Bangalore, Karnataka",1.0,1200.0,Basic
Bajaj,Pulsar F250,2021,,"Hyderabad, Telangana Finance Available View More Details",1.0,17500.0,Basic
KTM,Duke 250,2022,"2,20,000","Hosur, Tamil Nadu",1.0,20000.0,Basic
KTM,RC 200 2020,2020,"1,40,000","Dadar, Mumbai, Maharashtra",2.0,10100.0,Premium
Yamaha,R15 V4,2023,"1,85,000","Indiranagar, Bangalore, Karnataka",1.0,30000.0,Premium
Odysse,Evoqis,2023,"80,000","Ahmedabad, Gujarat",1.0,12000.0,Premium
KTM,RC 200 2022,2022,"1,80,000","Kanchipuram, Tamil Nadu",1.0,7000.0,Premium
Royal Enfield,Meteor 350 Fireball,2021,"1,60,000","Sholinganallur, Chennai, Tamil Nadu",1.0,7200.0,Premium
Bajaj,Avenger Street 220,2016,"45,000","Gurgaon, Haryana",1.0,31414.0,Premium
Yamaha,FZ-S FI Ver 4.0,2024,"1,11,000","Banashankari, Bangalore, Karnataka",1.0,12600.0,Premium
Ampere,Magnus Ex,2023,"95,000","KR Puram, Bangalore, Karnataka",1.0,2031.0,Premium
Royal Enfield,Classic 350,2015,"70,000","North West Delhi, Delhi",1.0,17700.0,Premium
Honda,Aviator,2014,"34,500","Bangalore, Karnataka",1.0,21000.0,Premium
EMotorad,Doodle,2026,"50,000","Whitefield, Bangalore, Karnataka",1.0,,Premium
Ola,S1 Pro,2022,"52,000","Nelamangala, Bangalore, Karnataka",1.0,63000.0,Premium
Suzuki,Gixxer SF Moto GP,2018,,"Chembur, Mumbai, Maharashtra Finance Available View More Details",1.0,29766.0,Premium
Triumph,Scrambler 400 X,2025,"2,70,000","North Delhi, Delhi",1.0,2600.0,Premium
TVS,Jupiter BS6,2017,"50,000","Solapur, Maharashtra",2.0,28500.0,Premium
BMW,G 310 RR,2025,"3,30,000","Ramnagar, Nainital, Utarakhand",1.0,3000.0,Premium
KTM,Duke 390,2017,"1,50,000","Thane, Maharashtra",1.0,19500.0,Premium
Yamaha,Aerox 155 Version S,2024,"1,30,000","Chennai, Tamil Nadu",1.0,30000.0,Premium
Yamaha,FZ25,2017,"60,000","Mohali, Punjab",2.0,40000.0,Premium
Bajaj,Pulsar 125 Neon BS6,2022,"80,000","Konnagar, Hooghly, West Bengal",1.0,3000.0,Premium
Hero,2023 HF Deluxe,2023,"58,000","Solapur, Maharashtra",1.0,15500.0,Basic
Bajaj,Discover 125 ST,2013,"25,000","Boisar, Palghar, Maharashtra",1.0,24035.0,Basic
TVS,Apache RTR 200 Fi 4V,2019,"55,000","Vadodara, Gujarat",1.0,32000.0,Basic
Bajaj,Platina 100 ES BS6,2020,"45,000","Dahisar, Mumbai, Maharashtra",1.0,36545.0,Basic
Yamaha,YZF R15 V3 BS6,2021,"1,70,000","Siruguppa, Bellary, Karnataka",1.0,35000.0,Basic
Yamaha,R15M,2023,"1,75,000","Chengalpattu, Tamil Nadu",1.0,15000.0,Basic
Yamaha,MT-15,2021,"1,20,000","Mayur Vihar, East Delhi, Delhi",1.0,20000.0,Basic
Suzuki,Access,2014,"20,000","Andheri West, Mumbai, Maharashtra",1.0,30000.0,Basic
Bajaj,Pulsar RS 200,2015,"60,000","Baikunthpur, Rewa, Madhya Pradesh",2.0,32000.0,Basic
Honda,CB200X,2023,"1,39,000","Tiruppuvanam, Sivaganga, Tamil Nadu",1.0,9250.0,Basic
Hero,Splendor Plus,2021,"48,000","West Delhi, Delhi",1.0,16500.0,Basic
Royal Enfield,Bullet Electra,2016,"82,000","Medchal, Telangana",2.0,80100.0,Basic
Honda,Hness CB350 DLX Pro,2021,"1,50,000","Yelahanka, Bangalore, Karnataka",1.0,37000.0,Basic
Bajaj,Avenger Street 220,2017,"39,999","Chennai, Tamil Nadu",,40000.0,Basic
Kawasaki,Ninja ZX-10R 2025,2025,"20,00,000","Hyderabad, Telangana",1.0,3000.0,Basic
Bajaj,Pulsar 135LS,2013,"28,000","Noida, Uttar Pradesh",1.0,19000.0,Basic
Royal Enfield,Classic 500,2016,,"Pune, Maharashtra Finance Available View More Details",1.0,,Basic
Ola,S1 Pro,2024,"1,00,000","Marathahalli, Bangalore, Karnataka",1.0,10000.0,Basic
Royal Enfield,Shotgun 650,2025,"4,20,000","Ghaziabad, Uttar Pradesh",1.0,5000.0,Basic
Jawa,42 Dual Channel ABS AllStar Black,2022,"1,20,000","Mumbai, Maharashtra",1.0,28000.0,Basic
Bajaj,Pulsar RS 200 BS6,2023,"1,15,000","Chennai, Tamil Nadu",1.0,36000.0,Premium
Royal Enfield,Classic Desert Storm,2012,"90,000","Pune, Maharashtra",1.0,22000.0,Premium
Yamaha,Aerox 155,2023,"1,25,000","Mylapore, Chennai, Tamil Nadu",1.0,20000.0,Premium
Royal Enfield,Continental GT 650,2025,"3,85,000","Saket, South Delhi, Delhi",1.0,2500.0,Premium
Ola,S1 Pro,2024,"75,000","Bangalore, Karnataka",1.0,17000.0,Premium
Jawa,42 Bobber Black Mirror,2023,"1,95,000","Bhubaneshwar, Orissa",1.0,14000.0,Premium
Bajaj,Avenger Street 220,2018,"30,000","Barasat, North 24 Parganas, West Bengal",1.0,7000.0,Premium
Royal Enfield,Guerrilla,2026,"2,75,000","Bangalore, Karnataka",1.0,2600.0,Premium
Suzuki,Gixxer 250 BS6,2021,"1,10,000","Cuttack, Orissa",1.0,37000.0,Premium
KTM,Duke 200,2024,"1,55,000","Fatehpur, Uttar Pradesh",1.0,19000.0,Premium
Yamaha,FZ FI V3 BS6,2022,"85,000","Parel, Mumbai, Maharashtra",1.0,15380.0,Premium
Ola,S1 Pro,2022,"28,000","Pune, Maharashtra",1.0,33000.0,Premium
Jawa,350,2026,"1,90,000","Greater Noida, Gautam Buddha Nagar, Uttar Pradesh",1.0,310.0,Premium
Hero,Xoom 160 ZX,2026,"1,80,000","Bangalore, Karnataka",1.0,156.0,Premium
Honda,Unicorn,2018,"45,000","Kolkata, West Bengal",1.0,17000.0,Premium
Yamaha,YZF R15 S,2009,"40,000","Kolkata, West Bengal",1.0,50000.0,Premium
Hero,Destini 125 Xtec,2020,"50,000","Bardhaman, West Bengal",1.0,14000.0,Premium
Honda,Activa 3G,2015,"30,000","Vadodara, Gujarat",1.0,7960.0,Premium
Yezdi,Roadster Dual Tone,2022,"1,20,000","Chanchal, Malda, West Bengal",1.0,40000.0,Premium
TVS,Apache RTR 200 4V 2020,2020,"90,000","Mayur Vihar, East Delhi, Delhi",1.0,27000.0,Premium
Hero,Splendor Plus IBS i3s,2023,"70,000","Sholinganallur, Chennai, Tamil Nadu",1.0,24000.0,Basic
Hero,Ignitor,2015,"40,000","Parel, Mumbai, Maharashtra",1.0,53070.0,Basic
Royal Enfield,Classic 350,2016,"1,35,000","Mumbai, Maharashtra",1.0,33000.0,Basic
Hero,Electric Photon LP,2022,"42,000","Rajkot, Gujarat",1.0,16400.0,Basic
Bajaj,Pulsar 150,2017,"70,000","Golconda, Hyderabad, Telangana",1.0,72700.0,Basic
Yamaha,YZF R15 V3,2019,"55,000","Noida, Uttar Pradesh",1.0,13160.0,Basic
Yamaha,FZ25,2017,"90,000","Musheerabad, Hyderabad, Telangana",1.0,20000.0,Basic
Green,Sunny,2024,"25,000","Kadayanallur, Tenkasi, Tamil Nadu",1.0,,Basic
TVS,Jupiter 125,,"80,000","Nelamangala, Bangalore, Karnataka",1.0,18350.0,Basic
Honda,Activa,2014,"30,000","BTM Layout, Bangalore, Karnataka",1.0,10800.0,Basic
KTM,Duke 200,2017,"1,10,000","Guntur, Andhra Pradesh",1.0,62000.0,Basic
Aprilia,SR 160,2022,"85,000","KR Puram, Bangalore, Karnataka",1.0,30000.0,Basic
Royal Enfield,Thunderbird,2013,"70,000","Kolkata, West Bengal",2.0,37500.0,Basic
Royal Enfield,Classic Signals Stormrider Sand,2024,"2,25,000","Pandharpur, Solapur, Maharashtra",1.0,13500.0,Basic
Honda,Aviator,2011,"15,500","Zirakpur, Sahibzada Ajit Singh Nagar, Punjab",1.0,82000.0,Basic
Yamaha,SZ-RR,2015,"32,000","Gurgaon, Haryana",1.0,60000.0,Basic
Yezdi,Roadster,2023,"1,35,000","Egmore, Chennai, Tamil Nadu",1.0,6100.0,Basic
Oben,EV Rorr EZ,2025,"95,000","Electronic City, Bangalore, Karnataka",1.0,7025.0,Basic
Jawa,forty two,2019,"1,20,000","Bangalore, Karnataka",2.0,25000.0,Basic
Suzuki,Gixxer SF BS6,2023,"1,30,000","Chhatrapati Sambhajinagar, Maharashtra",1.0,19200.0,Basic
Hero,CD Deluxe,2010,"25,000","Alandur, Chennai, Tamil Nadu",1.0,35000.0,Premium
Honda,Unicorn,2020,"78,000","Eluru, Andhra Pradesh",1.0,33000.0,Premium
Yamaha,Aerox 155,2024,"1,40,000","Tambaram, Chengalpattu, Tamil Nadu",1.0,30000.0,Premium
Royal Enfield,Classic 350 BS VI,2021,"1,50,000","Greater Noida, Uttar Pradesh",1.0,3000.0,Premium
Suzuki,Gixxer 150,2016,"45,000","Pimpri-Chinchwad, Pune, Maharashtra",1.0,26000.0,Premium
Jawa,forty two BS6,2020,"1,30,000","Dharwad, Karnataka",1.0,24000.0,Premium
Hero,Xtreme 125R Dual Channel ABS,2025,"95,000","Agra, Uttar Pradesh",1.0,4500.0,Premium
Royal Enfield,Meteor 350 Supernova,,"2,10,000","Mira-Bhayandar, Thane, Maharashtra",1.0,28000.0,Premium
Honda,Aviator,2010,"35,000","Marathahalli, Bangalore, Karnataka",1.0,15000.0,Premium
Bajaj,Avenger 220 DTS-i,2012,"26,000","Mathura, Uttar Pradesh",1.0,17000.0,Premium
BMW,G 310 RR,2026,"3,20,000","Jalandhar, Punjab",1.0,500.0,Premium
Royal Enfield,Classic 350,2015,"1,20,000","West Delhi, Delhi",1.0,28498.0,Premium
Yamaha,R15M Monster Energy MotoGP Edition,2022,"1,75,000","Varanasi, Uttar Pradesh",1.0,22000.0,Premium
Royal Enfield,Classic 350,2016,"1,00,000","Midnapore, West Medinipur, West Bengal",1.0,35000.0,Premium
Honda,Activa 5G,2019,"52,000","HSR Layout, Bangalore, Karnataka",1.0,20150.0,Premium
Honda,Activa 125,2019,"40,000","Ameenpur, Sangareddy, Telangana",1.0,13650.0,Premium
Yamaha,FZ25,2019,"70,000","Raigad, Maharashtra",1.0,25000.0,Premium
Royal Enfield,Classic 350,2013,"50,000","Ajmer, Rajasthan",1.0,15000.0,Premium
Royal Enfield,Guerrilla 450 Flash,2026,"2,90,000","Jhunjhunu, Rajasthan",1.0,975.0,Premium
Bajaj,Pulsar 150 DTSi,2012,"30,000","Bangalore, Karnataka",1.0,70000.0,Premium
Royal Enfield,Classic,2020,"1,90,000","North 24 Parganas, West Bengal",1.0,90000.0,Basic
