Brand,Bike Name,Model Year,Price,Location,Owners,Kilometers Run,Listing Type
Bajaj,Platina 110,2019,"30,000","Pallavaram, Chengalpattu, Tamil Nadu",1.0,38000.0,Basic
Royal Enfield,Himalayan,2018,"1,00,000","Surat, Gujarat",1.0,20000.0,Basic
BMW,G 310 R,2024,"2,50,000","Noida, Gautam Buddha Nagar, Uttar Pradesh",1.0,9500.0,Premium
Bajaj,Platina ComforTec 100 ES BS6,2024,"45,999","Indore, Madhya Pradesh",1.0,24000.0,Premium
KTM,390 Adventure 2025,2025,"4,00,000","Jayanagar, Bangalore, Karnataka",1.0,11300.0,Premium
Yamaha,FZ-S FI V3,2019,"65,000","Gurgaon, Haryana",1.0,15000.0,Premium
Royal Enfield,Classic 350 BS VI,2024,"2,10,000","Raipur, Chhattisgarh",1.0,12000.0,Premium
Hero,Duet 110,2016,"30,000","Pune, Maharashtra",1.0,42800.0,Premium
Royal Enfield,Bullet 350 Twinspark,2015,"1,20,000","Visakhapatnam, Andhra Pradesh",1.0,20500.0,Premium
Honda,Activa 125 BS6,2020,"60,000",Chandigarh,1.0,8200.0,Premium
Honda,SP125,2022,"60,000","Dehradun, Utarakhand",1.0,5500.0,Premium
Jawa,42 Dual Channel ABS AllStar Black,2025,"1,80,000","Marathahalli, Bangalore, Karnataka",1.0,650.0,Premium
Ultraviolette,F77 Mach 2 Recon,2025,"3,25,000","Gurgaon, Haryana",1.0,1850.0,Premium
Bajaj,V15,2016,"35,000","Hyderabad, Telangana",1.0,65000.0,Premium
Royal Enfield,Classic 500,2015,"75,000","Gurgaon, Haryana",1.0,51000.0,Premium
Royal Enfield,Hunter 350 2025,2025,"1,90,000","Hyderabad, Telangana",1.0,12640.0,Premium
Bicycle,Kross,2019,"6,500","Punjabi Bagh, West Delhi, Delhi",1.0,,Premium
Bajaj,Pulsar 150 Twin Disc BS6,2019,"55,000","Deoria, Uttar Pradesh",2.0,32000.0,Premium
Triumph,Scrambler 400 X,2024,"2,40,000","Chennai, Tamil Nadu",1.0,15750.0,Premium
Bicycle,Hero,2024,"15,000","Punjabi Bagh, West Delhi, Delhi",1.0,500.0,Premium
Hero,Passion Pro i3s,2026,,"Hadapsar, Pune, Maharashtra Finance Available View More Details",1.0,2000.0,Premium
Vespa,VX 125,2013,"80,000","Pimpri-Chinchwad, Maharashtra",1.0,36000.0,Premium
Bajaj,Discover 150 F,2015,"25,000","Kanpur, Uttar Pradesh",1.0,38000.0,Basic
Okinawa,Okhi 90,2022,"68,000","Nissing, Karnal, Haryana",1.0,42000.0,Basic
Hero,Splendor iSmart 110,2017,"45,000","Nashik, Maharashtra",1.0,49000.0,Basic
Hero,Splendor Plus IBS i3s,2022,"56,000","North East Delhi, Delhi",1.0,20000.0,Basic
Royal Enfield,Hunter 350 2026,2026,"1,90,000","Pune, Maharashtra",1.0,2600.0,Basic
Bajaj,Pulsar 180F Neon,2019,"55,000","Dadar, Mumbai, Maharashtra",1.0,37760.0,Basic
Yamaha,FZ25,2017,"55,000","Pataudi, Gurgaon, Haryana",1.0,54000.0,Basic
Suzuki,Access 125,2010,"15,000","Tirumalagiri, Hyderabad, Telangana",1.0,30000.0,Basic
Honda,Activa 5G,2023,"80,000","Pimpri-Chinchwad, Maharashtra",1.0,,Basic
Jawa,Perak BS6,2021,"1,20,000","Jaipur, Rajasthan",1.0,20000.0,Basic
Bajaj,Pulsar 200 NS,2014,"47,000","Dehradun, Utarakhand",2.0,38000.0,Basic
Triumph,Speed 400,2024,"2,00,000","Sarita Vihar, South East Delhi, Delhi",1.0,9000.0,Basic
Royal Enfield,Bullet 350 ES,2023,"1,80,000","Mathura, Uttar Pradesh",1.0,12500.0,Basic
TVS,Scooty Pep Plus,2019,"20,999","Hardoi, Uttar Pradesh",1.0,37000.0,Basic
Bajaj,Avenger Street 220,2017,"45,000","Bhopal, Madhya Pradesh",,44813.0,Basic
Royal Enfield,Meteor 350 Fireball,2021,"1,60,000","Kalanaur, Rohtak, Haryana",1.0,8100.0,Basic
Yamaha,FZ-S FI Ver 4.0 DLX,2024,"1,16,000","Noida, Gautam Buddha Nagar, Uttar Pradesh",1.0,6283.0,Basic
Royal Enfield,Hunter 350 Metro,2021,"60,000","Anantapur, Andhra Pradesh",1.0,15000.0,Basic
Royal Enfield,Thunderbird 350,2017,"1,25,000","Kochi, Ernakulam, Kerala",1.0,6000.0,Basic
Honda,Activa,2011,"20,000","Indiranagar, Bangalore, Karnataka",1.0,88646.0,Basic
Royal Enfield,Thunderbird 350,2016,"80,000","Hebbal, Bangalore, Karnataka",1.0,45000.0,Premium
Yamaha,FZ-S FI Hybrid,2025,"1,35,000","Mumbai, Maharashtra",1.0,1100.0,Premium
Yezdi,Scrambler Dual Tone,2022,"2,20,000","Koramangala, Bangalore, Karnataka",1.0,6500.0,Premium
Hero,Splendor iSmart,2023,"70,000","Pune, Maharashtra",1.0,11264.0,Premium
Bajaj,Pulsar N160,2022,"1,09,000","Allahabad, Uttar Pradesh",1.0,30000.0,Premium
Okinawa,R30,2022,"22,000","Electronic City, Bangalore, Karnataka",1.0,400.0,Premium
Yamaha,YZF R15 V2,2016,"60,000","Pune, Maharashtra",1.0,34000.0,Premium
Bicycle,Firefox,2026,"15,500","HSR Layout, Bangalore, Karnataka",1.0,,Premium
TVS,Raider 125,2022,"71,000","Karaikudi, Sivaganga, Tamil Nadu",2.0,25000.0,Premium
TVS,NTORQ 125 XT,2025,"99,999","T. Nagar, Chennai, Tamil Nadu",1.0,13000.0,Premium
Honda,Activa 6G,2020,"45,000","Nampally, Hyderabad, Telangana",2.0,345000.0,Premium
Honda,CB200X,2024,"1,50,000","Kolkata, West Bengal",1.0,10200.0,Premium
TVS,Raider TFT DD 2026,,"98,000","Faridabad, Haryana",1.0,6000.0,Premium
Bajaj,Avenger Cruise 220 BS6,2019,"76,000","Chennai, Tamil Nadu",1.0,53210.0,Premium
Triumph,Speed 400,2024,"2,00,000","Lucknow, Uttar Pradesh",1.0,11800.0,Premium
Hero,Xpulse 200 4V,2024,"1,05,000","Gurgaon, Haryana",1.0,2600.0,Premium
Suzuki,Gixxer 150,2021,"1,15,000","Ahmednagar, Maharashtra",1.0,25500.0,Premium
Honda,SP125,2016,"30,000",Orissa,1.0,90000.0,Premium
Yamaha,Fascino,2018,"30,000","Thane, Maharashtra",2.0,27605.0,Premium
Bajaj,Avenger 220 DTS-i,2021,"85,000","Borivali, Mumbai, Maharashtra",1.0,9000.0,Premium
TVS,Scooty Pep,2014,"20,000","Navi Mumbai, Maharashtra",1.0,20000.0,Basic
Royal Enfield,Thunderbird 500,2012,"50,000","Chembur, Mumbai, Maharashtra",1.0,18700.0,Basic
TVS,Apache RTR 160 4V BS6,2026,"1,45,000","Jamshedpur, Jharkhand",1.0,609.0,Basic
Jawa,Jawa BS6,2021,"1,00,000","BTM Layout, Bangalore, Karnataka",2.0,10400.0,Basic
Bajaj,Avenger Cruise 220,2020,"1,00,000","Kozhikode, Kerala",1.0,19934.0,Basic
Suzuki,GS 150R,2015,"35,000","Hiriyur, Chitradurga, Karnataka",1.0,70000.0,Basic
TVS,NTORQ 125 Race Edition BS6,,"90,000","Navi Mumbai, Maharashtra",1.0,900.0,Basic
Bajaj,Avenger Cruise 220 BS6,2017,"50,000","Marathahalli, Bangalore, Karnataka",1.0,40000.0,Basic
Royal Enfield,Classic 350 Dual Channel BS6,,"2,00,000","Nagapattinam, Tamil Nadu",1.0,60000.0,Basic
Bajaj,Pulsar NS 160,2018,"60,000","Chennai, Tamil Nadu",2.0,40000.0,Basic
Bajaj,Pulsar 150,2011,"35,000","Raipur, Chhattisgarh",1.0,43000.0,Basic
Honda,Activa,2012,"15,000","Visakhapatnam, Andhra Pradesh",1.0,30000.0,Basic
TVS,Apache RTR 200 4V ABS,2021,"87,500","Bangalore, Karnataka",2.0,25700.0,Basic
KTM,Duke 250,2021,"1,50,000","Chennai, Tamil Nadu",1.0,11800.0,Basic
Hero,Glamour Xtec,2021,"62,000","Ichalkaranji, Kolhapur, Maharashtra",1.0,9500.0,Basic
Royal Enfield,Classic 350 Dual Channel BS6,2020,"1,70,000","Thane, Maharashtra",2.0,17500.0,Basic
Yamaha,R15M 2023,2023,"1,80,000","Satara, Maharashtra",1.0,30000.0,Basic
Ola,S1 Pro Gen2,2023,"98,000","Bangalore, Karnataka",1.0,25250.0,Basic
BMW,G 310 RR,2024,"2,80,000","New Delhi, Delhi",1.0,20000.0,Basic
Hero,Destini 125 BS6,2023,"80,000","Mumbai, Maharashtra",1.0,11000.0,Basic
Royal Enfield,Classic 350 Redditch Red,2017,"1,60,000","Jaipur, Rajasthan",1.0,55000.0,Premium
Ola,S1 Pro Gen2,2024,"70,000","Bangalore, Karnataka",1.0,1800.0,Premium
Vida,V1 Pro,2023,"99,000","Mumbai, Maharashtra",1.0,5491.0,Premium
TVS,Apache RTR 200 4V ABS,2020,"75,000",Tamil Nadu,1.0,50500.0,Premium
TVS,Raider 125,2024,"90,000","Kharar, Mohali, Punjab",1.0,6889.0,Premium
Royal Enfield,Meteor 350 Stellar,2021,"1,70,000","Akola, Maharashtra",1.0,100000.0,Premium
Bajaj,Pulsar 135LS,2015,"30,000","Kolkata, West Bengal",1.0,30000.0,Premium
Ola,S1 Air 4kWh,2023,"70,000","Howrah, West Bengal",1.0,9518.0,Premium
Ola,S1 Pro,2023,"65,000","Rajajinagar, Bangalore, Karnataka",1.0,13171.0,Premium
Yamaha,FZ16,2013,"23,000","Patna, Bihar",1.0,20000.0,Premium
Yamaha,FZ-S FI V2,2018,"45,000","Thane, Maharashtra",1.0,45000.0,Premium
TVS,NTORQ 125 Race XP,2021,"74,999","Mudhol, Bagalkot, Karnataka",1.0,28800.0,Premium
Yamaha,YZF R15 S,2019,"50,000","Kolkata, West Bengal",1.0,33671.0,Premium
Bajaj,Pulsar N160,2023,"1,00,000","Charkhi Dadri, Haryana",1.0,1767.0,Premium
Hero,Super Splendor,2013,"35,000","Hyderabad, Telangana",1.0,48671.0,Premium
Royal Enfield,Bullet Standard 350,2016,"1,30,000","Shaikpet, Hyderabad, Telangana",1.0,85000.0,Premium
TVS,NTORQ 125 Race XP,2023,"75,000","Greater Noida, Gautam Buddha Nagar, Uttar Pradesh",1.0,7000.0,Premium
Kawasaki,Z900 ABS,2021,"8,00,000","New Delhi, Delhi",1.0,27000.0,Premium
Honda,Shine 125,2024,"70,000","Noida, Uttar Pradesh",1.0,1300.0,Premium
Ultraviolette,F77 SuperStreet,2025,"2,90,000","Rajkot, Gujarat",1.0,8400.0,Premium
Royal Enfield,Thunderbird,2015,"1,05,000","Electronic City, Bangalore, Karnataka",1.0,30000.0,Basic
Bajaj,Pulsar 220F BS6,2025,"1,20,000","Navi Mumbai, Maharashtra",1.0,3000.0,Basic
Royal Enfield,Interceptor 650 Twin,2019,"2,35,000","Preet Vihar, East Delhi, Delhi",1.0,22000.0,Basic
Harley,Davidson X440 S,2023,"2,40,000","Kolkata, West Bengal",1.0,14000.0,Basic
Bajaj,Pulsar 150 Neon,2021,"60,000","East Delhi, Delhi",1.0,19000.0,Basic
TVS,Apache RTR 160,2010,"25,000","Aluva, Ernakulam, Kerala",1.0,40000.0,Basic
Jawa,Perak,2021,"1,50,000","Tapi, Gujarat",1.0,4000.0,Basic
Suzuki,Access 125,2015,"28,000","Pimpri-Chinchwad, Pune, Maharashtra",1.0,30900.0,Basic
Yamaha,R15 V4,2025,"1,70,000","Erode, Tamil Nadu",1.0,9500.0,Basic
Bajaj,Avenger Street 150,,"75,000","Yelahanka, Bangalore, Karnataka",1.0,23000.0,Basic
BMW,G 310 R,2018,"2,80,000","Anna Nagar, Chennai, Tamil Nadu",1.0,7250.0,Basic
TVS,Ronin SS,2024,"1,15,000","Velachery, Chennai, Tamil Nadu",1.0,13500.0,Basic
Hero,Super Splendor,2018,"22,000","Patna, Bihar",1.0,49000.0,Basic
Franklin,EV Power Plus,2026,"45,000",Andhra Pradesh,1.0,1195.0,Basic
Jawa,42 Dual Tone,2019,"1,00,000","Cuttack, Orissa",1.0,47000.0,Basic
KTM,Duke 200,2016,"65,000","New Delhi, Delhi",1.0,33000.0,Basic
BMW,G 310 R,2023,"2,80,000","Hyderabad, Telangana",1.0,14000.0,Basic
KTM,Duke 200 2024,2024,"1,70,000","Kharagpur, Paschim Medinipur, West Bengal",1.0,8000.0,Basic
Yamaha,FZ-S FI V2,2018,"53,000","KR Puram, Bangalore, Karnataka",1.0,10200.0,Basic
Jawa,42 Dual Tone,2021,"1,15,000","Hoshiarpur, Punjab",1.0,10000.0,Basic
TVS,Jupiter 125,2022,"65,000","Navi Mumbai, Maharashtra",1.0,45000.0,Premium
Jawa,42 Dual Channel ABS Cosmic Carbon,2023,"1,50,000","Siddipet, Telangana",1.0,9200.0,Premium
KTM,390 Adventure,2020,"2,40,000","Mumbai, Maharashtra",1.0,32400.0,Premium
Bajaj,V15,2016,"30,000","Pune, Maharashtra",1.0,54000.0,Premium
Bicycle,Road Giant,2026,"9,500","Kolkata, West Bengal",1.0,1.0,Premium
Yamaha,R15 V4,2022,"1,50,000","Chennai, Tamil Nadu",1.0,6192.0,Premium
Hero,Pleasure Plus BS6,2024,"85,000","Secunderabad, Hyderabad, Telangana",1.0,1260.0,Premium
Hero,CBZ Xtreme,2012,"20,000","Bellandur, Bangalore, Karnataka",1.0,54000.0,Premium
TVS,Apache RTR 160 4V,2018,"42,000","Ambattur, Chennai, Tamil Nadu",1.0,75000.0,Premium
Triumph,Speed 400,2024,"2,20,000","Surat, Gujarat",1.0,13000.0,Premium
Honda,Activa 125,2025,"90,000","Chennai, Tamil Nadu",1.0,1150.0,Premium
TVS,Raider 125 Marvel Super Squad Edition,2024,"85,000","Pune, Maharashtra",1.0,16400.0,Premium
Honda,Activa,2007,"10,000","Kalyan, Thane, Maharashtra",2.0,68000.0,Premium
Suzuki,Gixxer 150,2016,"50,000","Greater Noida, Uttar Pradesh",1.0,10000.0,Premium
Honda,CB200X,2024,"1,20,000","Kolkata, West Bengal",1.0,17000.0,Premium
Honda,Dio 125,2020,"50,000","Mysore, Karnataka",1.0,5307.0,Premium
Royal Enfield,Himalayan BS VI,2023,"1,50,000","Kolkata, West Bengal",1.0,16000.0,Premium
TVS,Apache RTR 200 4V ABS,2019,"65,000","Mumbai, Maharashtra",1.0,25000.0,Premium
TVS,NTORQ 125,2023,"75,000","Sholinganallur, Chennai, Tamil Nadu",1.0,8000.0,Premium
Honda,CB350 DLX Pro,2022,"1,75,000","Bangalore, Karnataka",1.0,41035.0,Premium
KTM,Duke 250,2018,"1,20,000","Kadapa, Andhra Pradesh",1.0,27000.0,Basic
Bajaj,Pulsar 150 DTSi,2024,"75,000","New Delhi, Delhi",1.0,1600.0,Basic
Hero,Xtreme 200R,2019,"48,000","Kolkata, West Bengal",1.0,40000.0,Basic
TVS,Victor,2002,"15,000","Pune, Maharashtra",1.0,200000.0,Basic
Bajaj,Pulsar 150 Twin Disc BS6,2021,"70,000","Malur, Kolar, Karnataka",1.0,54000.0,Basic
Hero,Xtreme 160R,2025,"1,10,000",Karnataka,1.0,8200.0,Basic
Yamaha,MT-15 BS6,2023,"1,30,000","Solapur, Maharashtra",1.0,67000.0,Basic
Kinetic,Kinetic Honda,1995,"10,000","Sarjapur Road, Bangalore, Karnataka",1.0,,Basic
TVS,Apache RR 310 2020,2020,,"Salem, Tamil Nadu Finance Available View More Details",1.0,16300.0,Basic
TVS,Apache RTR 160,2018,"55,000","Bangalore, Karnataka",1.0,24000.0,Basic
Ola,S1 Pro,2022,"76,000","Kothapeta, Dr BR Ambedkar Konaseema, Andhra Pradesh",1.0,46000.0,Basic
Bajaj,Dominar 400 ABS BS6,2020,"1,60,000","North 24 Parganas, West Bengal",1.0,24208.0,Basic
Bajaj,Pulsar N160 Dual Channel ABS,2023,"1,15,000","Kanpur Nagar, Uttar Pradesh",1.0,15000.0,Basic
Hero,Xpulse 200 4V,2024,"1,40,000","Navi Mumbai, Maharashtra",1.0,3000.0,Basic
Royal Enfield,Classic 350,2017,"1,20,000","Thrippunithura, Ernakulam, Kerala",1.0,,Basic
Vespa,ZX 125,2019,"50,000","Coimbatore, Tamil Nadu",1.0,22500.0,Basic
Honda,Activa 4G,2018,"50,000","Shaikpet, Hyderabad, Telangana",1.0,50000.0,Basic
Honda,Activa 5G,2019,"41,000","Jodhpur, Rajasthan",1.0,33000.0,Basic
Bajaj,Pulsar NS 200 BS6,2022,"1,20,000","Mandya, Karnataka",1.0,22000.0,Basic
Yezdi,Adventure Gloss 2024,2024,"2,55,000","Shimoga, Karnataka",1.0,6000.0,Basic
Bajaj,Pulsar 220 DTSi,2021,"80,000","Hebbal, Bangalore, Karnataka",1.0,63000.0,Premium
Suzuki,Intruder 150,2019,"55,000","Mumbai, Maharashtra",1.0,10000.0,Premium
Yamaha,FZ-S FI Ver 4.0,,"95,000","Mahabubnagar, Telangana",1.0,23000.0,Premium
Royal Enfield,Thunderbird 350,2017,,"Hyderabad, Telangana Finance Available View More Details",1.0,13000.0,Premium
Royal Enfield,Classic 350,2019,"1,35,000","Mumbai, Maharashtra",1.0,10000.0,Premium
Yezdi,Roadster Dark,2022,"1,75,000","Ahmedabad, Gujarat",1.0,1450.0,Premium
Royal Enfield,Thunderbird 350,2018,"1,30,000","Bangalore, Karnataka",1.0,26000.0,Premium
Honda,CB Unicorn 160,2021,"95,000","Bangalore, Karnataka",1.0,10300.0,Premium
Honda,Hornet 2.0,2021,"90,000","Burhar, Shahdol, Madhya Pradesh",1.0,43000.0,Premium
Suzuki,Gixxer SF,2022,"98,000","Mumbai, Maharashtra",1.0,24650.0,Premium
Yamaha,FZ-S FI V3,2019,"60,000","KR Puram, Bangalore, Karnataka",1.0,24424.0,Premium
Royal Enfield,Thunderbird TwinSpark 350,2012,"80,000","Thane, Maharashtra",1.0,45000.0,Premium
Honda,CB350 DLX,2024,"1,70,000","Noida, Uttar Pradesh",1.0,7950.0,Premium
Ola,S1 Air,2024,"90,000","Bellandur, Bangalore, Karnataka",1.0,15000.0,Premium
Royal Enfield,Thunderbird 350,2017,"1,20,000","Parel, Mumbai, Maharashtra",1.0,65000.0,Premium
Bajaj,Avenger 220 DTS-i,2013,"53,000","Borivali, Mumbai, Maharashtra",1.0,28000.0,Premium
TVS,Raider 125 Marvel Super Squad Edition,2024,"91,000","Visakhapatnam, Andhra Pradesh",1.0,25004.0,Premium
Hero,Xpulse 200 4V,2025,"1,30,000","Pune, Maharashtra",1.0,5000.0,Premium
Ampere,Magnus Ex,2022,"15,000","Howrah, West Bengal",1.0,26000.0,Premium
Royal Enfield,Thunderbird 350,2016,"90,000","Hebbal, Bangalore, Karnataka",2.0,38774.0,Premium
TVS,Apache RR 310,2019,"1,80,000","Trivandrum, Kerala",1.0,5800.0,Basic
Royal Enfield,Bullet Standard 350,2008,"65,000","Bandra, Mumbai, Maharashtra",1.0,20000.0,Basic
Bajaj,Pulsar 150,2017,"30,000","Yamuna Vihar, North East Delhi, Delhi",1.0,115000.0,Basic
Yamaha,YZF R15 V3 BS6,2021,"1,00,000","Ameerpet, Hyderabad, Telangana",2.0,36000.0,Basic
Hero,Passion Pro BS6,2023,"60,000","Hapur, Uttar Pradesh",1.0,24000.0,Basic
TVS,NTORQ 125 Race Edition BS6,2020,"58,000","Alandur, Chennai, Tamil Nadu",1.0,22000.0,Basic
TVS,Apache RTR 200 4V,2017,,"Coimbatore, Tamil Nadu Finance Available View More Details",1.0,40000.0,Basic
KTM,Duke 250 2024,2024,"1,90,000","Ariyalur, Tamil Nadu",1.0,33000.0,Basic
Honda,CBR 150R,2013,"60,000","Bangalore, Karnataka",1.0,99453.0,Basic
Bajaj,Dominar 250,2020,"1,30,000","Rajajinagar, Bangalore, Karnataka",1.0,50000.0,Basic
Bajaj,Discover 100 DTS-Si,2011,"20,000","Ahmedabad, Gujarat",1.0,42500.0,Basic
Bajaj,Pulsar 150 DTSi,2023,"86,000","Nalbari, Assam",1.0,16800.0,Basic
Bajaj,Pulsar F250,2023,"1,20,000","Bhopal, Madhya Pradesh",1.0,20000.0,Basic
Ola,S1 Pro Gen2,2024,"95,000","Dharwad, Karnataka",1.0,26000.0,Basic
TVS,Apache RTR 160 4V,2019,"90,000","Dharwad, Karnataka",1.0,9000.0,Basic
Honda,Activa 6G Dlx,2024,"76,000","Noida, Uttar Pradesh",1.0,7594.0,Basic
BMW,G 310 GS,2022,"2,75,000","Hosur, Tamil Nadu",1.0,5400.0,Basic
Ola,S1 Pro Plus Gen 3 4kWh,2025,"1,10,000","Gopalpur, Ganjam, Orissa",1.0,11000.0,Basic
Hero,XPulse 200,2021,"1,00,000","Greater Noida, Uttar Pradesh",1.0,19000.0,Basic
Yamaha,MT-15 BS6,2022,"1,50,000","East Delhi, Delhi",1.0,38000.0,Basic
